final_sentence,label
kalian perbarui segi tampilan terima perbarui alur prosesnya aduh coba pikir mau membuat nib baru perbarui lokasi dulu belum unggah dokumen lokasi titik koordinat foto terlihat depan kalian bukannya mempermudah mempersulit pelatihan zoom dia enak maka orang disuruh pikir sendiri mencari informasi sendiri bertanya admin dapat solusi tidak tutorial yt sedikit menghabiskan waktu orang kembalikan awal,negatif
aplikasi susah buat pendaftaran nib alhasil tetap daftar offline gampang komplain balas ai login mau membuat nib arahkan online single submission tetapi tidak akses online single submission dia padahal sinyal kencang,negatif
aplikasi lolos buat naik susah banget mau daftarnya titik lokasinya tidak ngunci diklik bukannya ngunci titik memperbesar memperkecil tok hadeeeh aplikasi tidak guna,negatif
nibsudah terbitkanmantap membuat nib memang susah kerjakan sendiri lewat instansi berhubungan pelayanan pintusebab mereka tahu kode jenis usaha kita buatselebih dia ok penerbitannya cepat tidak pakai lama,positif
mau daftar sandi karterhuruf besarangkadan menggunakan karakter spesial maka karakter spesial tetapi dikasih karakter spesial tolak aplikasi lucu,negatif
aplikasi mengapa aneh banget daftar akun tepat masukkan email password tidak terdaftas aku coba pakai lupa sandi masukkan email tulisannya email tidak terdatar lucu kode otpnya email aku daftarkan,negatif
buruk seharusnya usaha mikro kecil dan menengah format pendaftaran dia tidak disamakan pengusaha besar kami dahulu tidak didik ataupun bibiayai oleh pemerintah teknologi seharusnya regulator menyesuaikan kemampuan warganya hal teknologi kecuali anda mengajarkan kepada kami sebagai perbandingan kami buat rekening bank digital mudah aman swasta sedikit sanggup mengapa regulator tidak sanggup,negatif
login lewat mana admin daftar tinggal login tetapi tidak masuk web keterangannya blank aplikasi tidak login lewat mana buat daftar nib,negatif
situs web aplikasi sama buruk banget hari berturutturut jamnya berbeda tetapi tetap tidak gagal tersambung sistem dukcapil,negatif
tidak mendaftar aplikasi jangan membuat diharuskan tetapi fungsinya daftar tidak,negatif
butuh banget nib tetapi daftar online single submission dia gagal melulu hari sampai kapan ya error begini tidak ada uang aksi sama sekali padahal pengaduannya banyak,negatif
aplikasi memuakkan daftar terap web tidak aplikasi web aplikasi lambat anggran gede in bahan pakai barang sampah,negatif
mau masuk akun online single submission tidak pernah kombinasi password akun salah ganti password tidak bisa padahal jelas informasikan oleh online single submission sendiri atas nama mengubah password gunakan buat masuk tetapi tetap tidak tanya petugas solusi dia tidak berhasil membingungkan,negatif
susah buat menggunakan dia berulang ulang tidak selesai selesai buat pendaftaran nib pelaku usaha mengurus izin usaha dia lalu arahkan aplikasi online single submission nyata dia aplikasi tidak semudah diharapkanharus dia dipermudah prosesnya tiap mentaati aturan dibuat pemerintah bukan terasa susah sekali kita membuat dia,negatif
habis perbarui buat membuat nib baru dipersulit tidak bagaikan dulu langsung aplikasi diarahkan web web tambah ribet tidak sepraktis sebelum perbarui bantu dibantu admin kembalikan bagaikan semula agar lewat aplikasi langsung membuat nib,negatif
susah perkara sama negara gatau aplikasi urus langsung prosesnya lamban aplikasinya tidak diharapkan waktu butuh banget butuhnya buat menaati peraturan negara sendiri sulitnya rulis pembukaan skripsi revisinya tidak bisa rasanya uang tunjungan buat mereka punya kuasa buat mengurus rakyat cukup tentu rakyat upah minimum regional tetapi hasilnya tidak kerasa sama sekali tidak paham tetapi kan kita terima,negatif
susah sekali buat membuat nib web disuruh aplikasi tetapi aplikasi disuruh web proses verifikasi persyaratan dasar lama sekali tidak bagaikan dulu cepat satu hari sedangkan sekarang berhari hari belum verifikasi klik bantuan melalui obrolan whatsapp niat dia supaya dapat solusi nyata dia kosong seharusnya sistemaplikasi diperbarui bertambah bagus praktis prosedur dia bukan ribet mempersulit,negatif
aplikasi ampas bukan bantu membuat pusing bagaimana mau membuat izin usaha membuat ketentuan administratif dia susah mempersulit download arahkan situs web situspun bolak balik tidak kunjung selesai kebayakan korupsi apaapa membuat ribed,negatif
minggu meminta singronisasi alamat email aplikasi lelanggoid sampai ketika belum sehingga menghalangi kita buat melalukan lelang sekelas aplikasi milik negara kalah bersaing aplikasi milik swaata banyak korupsi,negatif
berharap mudah melalui aplikasi rupanya ribet perintah sana perintah sini fungsi aplikasi jadinya login aplikasi perintah login web daftar informasi tidak klik menunggu masuk lama aplikasi nol web nol,negatif
link sama aplikasi sama mentok borang mau lanjut pengajuan tidak katanya dibenahi tidak bisa jam tetapi sisten belum beres bagus sistem awal tidak banyak kendala waktu pendaftaran sekarang bukannya dimudahkan tetapi dibuat bingung,positif
mau membuat nib lewat aplikasi diarahkan web ossgoid tepat login web mengisi tidak tombol buat tahap berikutnya tetapi giliran membuat lewat makelar tidak sampai jam apakah akses khusus buat makelar supaya daftar nib mana mendapat akses khusus sepertinya tertarik menjadi makelar pembuatan nib setoran bersedia terima kasih,negatif
sistem pemerintahan bagaimana baik aplikasi maupun situs web web dia bagaikan sengaja mempersulit maksudnya situs web web dia bagaikan tidak beres sengaja membuat berat berteletele mohon diperbaiki memang buat membuat rakyat kian mudah bukan bagaikan,negatif
bukannya mempermudah pendaftaran daring membuat emosi tulisannya email terdaftar padahal baru kali daftar pakai email lain tulisannya nik terdaftar sebelumnya,negatif
daftar lancar jaya sehabis mau masuk aplikasi tidak dikarenakan apanya tidak sesuai padahal semua email kata sandi benar tidak tahu ah mana kesslahanku,negatif
aplikasi tidak guna web tidak diakses buat aplikasi disuruh web lebih baik web dia diaksesini mah muncul disuruh disiplin peraturan tetapi pemerintah dia tidak tertibmemang benar indonesia namanya begini,negatif
aplikasi pemerintahan kurang optimalisasi sehingga bukannya memudahkan pelaku usaha menyusahkan mohon evaluasi kembali sebagai saran jangan sedikit aplikasi situs web mudah akses sehingga terintegrasi ramah pemahaman kepada masyarakat,negatif
di saat mau membuat izin baru tidak dipakai buat aplikasinya diarahkan google aplikasi lambat susah memahami,negatif
mempersulit aplikasi gunanya jika tidak mendaftar sedangkan daftar akun susah situs web online single submission belum daftar izin usahanya pakai layar handphone beda sama komputer peta bingung kasih titiknya mau mempermudah rakyat mau mempersulit rakyat bantu jangan mempersulit rakyat mau jualan kecil kecil izin usaha tidak satuan polisi pulang pergi tutup aduh,positif
aplikasi disuruh web buat pengajuan baru masuk web tidak klik menu pengajuanmaunya aplikasi bayari berapa sama uang rakyat tidak membantu rakyat sama sekali,negatif
aplikasi tidak berguna daftar tidak lewat aplikasi sia sia unduh pembuatan buat nib lewat web susahkalau tidak niat buat tidak perlu buat menghabiskan kuota,negatif
aplikasi buruktidak masuklog mengapa dibiarkan aktif bantu hapus playstore supaya tidak banyak terperangkap aplikasi tidak digunakan,negatif
bantu diperbaiki tampilan pengguna interface mobile menyulitkan ketika pengisian tidak ramah mau tidak mau lewat komputer,negatif
menghapus akun tidak dicoba berkali tetap tidak coba kontak layanan pengaduan katanya tidak menangani masalah,negatif
aplikasi kurang sesuai tidak buat nib situs web dia sama tidak buat nib banyak bug dia,negatif
aplikasi membantu akan namun aplikasi tidak buat mengatur ulang password tautan dikirim email tidak login pakai nik kata sandi benar tidak tidak pernah login selama hari nomor handphone terdaftar dianggap belum terdaftar membingungkan tidak opsi atur ulang password melalui nomor handphone aplikasi dibiayai negara error macam,positif
nik terdaftar tetapi tidak dapat balasan nama pengguna tidak masuk pakai nomor handphone dicek sampai nomor handphone berubah complain hari lewat whatsapp email tidak solusi jawaban perintah menunggu perbaikan tidak kepastian,negatif
mengecewakan nib masukkan data masuk sampai tahap draft nomor nib keluar tetapi nib tidak diterbitkan tidak keterangan kekurangannya dimana laporkan bagian kendala online single submission mingguan tidak balasan,negatif
asli aplikasi susah banget daftarnya pakai wifi ganti profider sekali alamat tidak sesuai begitu hari alamat benar naudzubilah mindzalik meribetkan mempersulit nanti gantian akhirat,negatif
bantu buat pengembang perbaiki pendaftaran error comxxxxxxxxx path null daftar tidak pernah koneksi pakai data sampaiwifi tidak,negatif
ketika pengajuan sempat bingung aplikasi tidak stabil tapi sehabis lihat tutorial youtub akhir dia download pengajuan permohonan nibbuat teman belum silakan coba sampai bisapengajuan dia singkat,positif
cukup bagus membantu perizinan semoga fitur fitur lainnya dapat segera gunakan meminta tambahan fitur riwayat transaksipengurusan izin sehabis selesai beberapa kali unduh formatnya tidak ketemu bingung mencari terima kasih berhasil melayani,positif
atur ulang kata sandi kode verifikasi tidak melalui whatsapp melalui email sementara email belum tautkan pemecahannya bagaimana,negatif
apa pun email nomor kartu tanda penduduk berapa nomor ponsel tidak terdaftar anjing padahal dulu dasarnya riwayat emailnya tetapi mengapa tidak dicoba reset tidak terdaftar bagaimana maksudnya,negatif
sehabis updte model terbaru aplikasi tidak berguna pembuatab nib kembali webbelum proses penapisan susahnya meminta ampunalangkah baiknya kembali model sebelumnya,negatif
cirikhas webaplikasi buatan pemerintah adalah kesini ribet salah satunya aplikasi dikelola boomer buat menghabiskan anggaran motto mereka adalah dipersulit dipermudah,negatif
web kamu error oi perbarui perbarui melulu baru mau daftar nib nama pengguna sama sandi buat baru mengapa tepat login muncul formulir data usaha punya orang lain seharusnya masuk akun sendiri lihat tutor tidak adanya online single submission model lama,negatif
aplikasi tidak guna kelas aplikasi pemerintahapk kelas anak sekolah dasar penanganannya jauh lambat metode perizinan terdahulu ingat bagi pengusaha berbayar tidak papa asal prosesnya tidak berbelit sekarang berbayar lama pula kan aneh,negatif
aplikasi tidak jelas mencari kerja susah giliran mau usaha diribetin mau daftar nib pakai lari kesono kesini aplikasi tidak jelas tidak simple tidak niatin mau membuat usaha perbaiki aplikasinya supaya mudah gampang jika buat nib,negatif
web diarahkan aplikasi aplikasi diarahkan web tidak berguna begini mengapa abang abang bilang digitalisasi memanfaatkan ai pret aplikasi pelat merah mengapa kalah sama aplikasi kakek petir,negatif
buat nib mempersulit kamu membuat aplikasi buat nib suruh web guna aplikasi lawak lawak supaya menampak keren semua basis sistem daring ternyata tidak bisa pergunakan terpaksa offlen,negatif
mohon maaf online single submission aplikasi segi tampilan bagus tetapi cara sistem buruk buat aplikasi membuat nib warus situs web lebih baik hapus aplikasinya putar toko tidak berguna,negatif
ya bagaikan biasa apapun aplikasi berbasis pemerintahan mempersulit rakyatnya panduan aplikasi tampak mudah namun faktanya akan berbelit rumit susah pemilihan opsi segi frasa kata sistemnya benar benar tidak sinkron,negatif
tidak dipakai tidak mengajukan nib aplikasi alihkan situs web membuat akun situs web down tidak mengajukan pembuatan nib aneh,negatif
buruk banget berkali mencoba tetap alam kabupaten mau pilih tidak kolom masak surabaya tidak terdaftar mengapa aneh orang perintah mengetik bolak balik tetapi tetap tidak,negatif
bantu perbarui buat aplikasi tetapi diarahkan web aneh pak kami tidak bodoh tidak kuasa sengaja kasih bintang lima supaya terbaca,positif
sama sekali tidak berguna buat nib arahkan situs web situs web tidak menemukan menu pembuatan nib whatsapp henti respond tanpa solusi parah,negatif
ayo tingkatkan cara pemakaian aplikasinya supaya gampang digunakan sesuai orang awam lwbih ramah easier mati course usefull all people,positif
perbarui harusnya dibuatkan buat mempermudah bukan mempersulit aplikasi buat pajangan tidak bisa membuat nib nib membuat web itupun alurnya berbeda dulu rumit ribet,negatif
sesudah perbarui bukannya baik tidak masuk sama sekali meminta akses lewat email nomor tetap tidak terpaksa perbarui nib tidak buka tetapi tidak sama sekali masuk mohon perbaiki aplikasinya,negatif
bantu diperhatikan segi verifikator dia mengajukan perizinan umku sehabis hari diberitahukan bahwa pengajuan perlu perbaikan sehabis melakukan perbaikan tidak progress hampir bulan sejak perbaikan mohon diperhatikan,negatif
aplikasi tidak berjalan baik belajar buat aplikasi punya akun pinlogin tidak aplikasi setop aplikasi buang waktu,negatif
aplikasi tidak jelas tidak guna banget buat daftar akun tidak suhur saran email buat verifikasi memuter,negatif
aplikasi menyusahkan tidak mendaftar padahal menggunakan nomor telepon baru anggap jika nomor telepon bermasalah email tidak padahal baru mengecewakan,negatif
melelahkan tidak hasil mudah mudahan pemilik aplikasi memperbaiki aplikasi jangan lihat bintang dia lihat komentarnyaterima kasih atas perhatiannya,positif
daftar giliran klik tombol paling baru buka aplikasi rupanya tidak bisaotomatis aplikasi tidak digunakan sampai sekarangpayah,negatif
error ketika mau masuk pembuatan nib lain parah katanya mempermudah kerumitan dipangkas tetapi ternyata tetap dipersulit buat masuk area dijadikan persyaratan mohon biarkan kami mengakses persyaratannya dipermudah salam pembaruan,negatif
mohon maaf baru daftar online single submission indonesia tetapi gagal ulasan nib anda daftar daftar tidak dapat bantuan kemana perginya bantuan padahal baru daftar tetapi daftar,positif
aplikasi bermanfaat tetapi bantu ditingkatkan aplikasinya banyak error belum akses keluar akun tambahan produk seterusnya sampai tidak dilanjutkan memang buat login tidak daftar aplikasi membantu tetapi bantu ditingkatkan terima kasih,positif
aplikasi seharusnya mempermudah malah susah daftar susah banget gagal bintang buat aplikasi,negatif
benar aneh banget situs web sampai aplikasi dia aneh kelewat memaksakan membuat kemudahan padahal tidak mudah sama sekali,negatif
baik web maupun aplikasi keduanya tidak daftar akun padahal coba jam sepi hasilnya sama,negatif
susah sekali mencari teknologi informasi negara aplikasi cacat lelah daftar nik terpakai tidak pernah daftar kan nik sebelumnya,negatif
tidak bagus tambah ribet nib status terbit namun tidak buka status kegagalan tanda tangan digital aplikasi tidak berguna langsung ossgoid nyaman,negatif
hari mau daftar akun gagal alasan gaguan bukannya mempermudah mempersulit,negatif
log in aplikasi mau buat nib disuruh web dia klik link dia giliran log in pakai web kode error bosan banget,negatif
terang kecewa menyulitkan pengguna unggah zip polygon web gagal stres padahal format benar sesuai aturan akhirnya gagal menerbitkan nib rakyat menangis biasa,negatif
anggaran besar tetapi hasil nol besar buat aplikasi tidak mampu daftar web gagal melulu daftar lewat android gagal melulu,negatif
sehabis perbarui tidak memuaskan ribet tidak buat nib lewat handphone,negatif
plislah perbarui mau daftar gagal melulu anjir anggaran gede appwebsite begini banget aneh raja bug,negatif
tidak bekerja max sia sia aplikasi tetap web site dia web site dia error melulu,negatif
aplikasi aneh harusnya maintenance perbarui bagus lambat,negatif
kolom pilihan tetapi tidak pilih tidak tahu sehabis isi berulang kali data isi hilang ketika mau simpan tidak opsi simpan lanjut aneh tidak bekerja padahal niat mendaftar online single submission buat mendapatkan sertifikat izin usaha sebagai ketentuan buat menjadi salah satu rekanan agen travel mancanegara alhasil tidak punya pekerjaan terima kasih online single submission jasamu begitu besar akan ingat,negatif
pengisian data kuantitatif kurang profesional tanpa detail usaha tingkat usaha mikro kecil dan menengah namun membantu pengusaha besar tanpa mengenai sasaran tepat banyak hitam tertulis perusahaan mau buka usaha gerobak tertulis perusahaan pengolahan makanan,negatif
buruk aplikasinya login web tidak handphone baru perbarui data aplikasi tidak perbarui web aneh sedang apa aplikasi segala daftar lewat web,negatif
aplikasi online single submission tidak gunakan pembuatan nib kian ruwet coba kembalikan awal simpel,negatif
bintang dulu berhasil login lupa password dulu masukan email lalu ketik captcha dia menunggu beberapa menit cek gmail klik link situs webnya buat reset password lalu masuk online single submission android tinggal cek cek kelengkapan data dan lain lain,positif
tidak fungsinya masukkan tidak kelola tidak udah kayak layar tancap memang developer dia owner dia tidak niat membuat menuh memenuhi storage,negatif
sekelas aplikasi pemerintah tetapi kualitas sampah register lancar tepat mau login keluar oops something went salah here sampah banget unduh aplikasi buat buat nib tetapi disuruh login lewat web web tidak login jijik,negatif
susah loginsetelah masuk mau daftar siup tidak buka kembalisangat mengecewakanmana progam pemerintah semua berbasis onlinenyatanya bagaikan hasilnya mengecewakan sekali,negatif
kurang optimal ketika pembuatan nib bukan lewat aplikasi namun arahkan situs web mohon optimalkan kembali cukup pakai aplikasi buat mempermudah,negatif
aplikasi error tidak pernah dibuka bagaimana perbaikannya berkali kali dicoba tidak peningkatan,negatif
tidak mebantu aplikasi tidak berguna sama sekali proses pendaftaran tetapi gagal gagal,negatif
bagaikan biasa aplikasi pemerintah ruwet memuter tidak efisien harusnya pemerintah melayani rakyat kemudahan mah jatuhnya tambah membuat ruwet nanti usaha jalan tetapi tidak izin gara aplikasi memuter ditertibkan ruwet warga negara indonesia,negatif
baru mencoba rupanya belum buat nib melalui aplikasi masuk situs web situs webnya subhanallah susah sekali mudah mudahan kedepannya dipermudah diperbaiki,negatif
aplikasi tidak bermutu membingungkan membingungkan negara besar sekelas aplikasi pemeritah tidak bagus buruk semua,negatif
aplikasi online single submission indonesia membantufitur mudah pahami tidak ribetpengisian data mudahh buat membuat nib baru mudah cepatsemoga berhasil ke depan dia,positif
error tidak bisa buat terbitkan nib macet draf error service henti found padahal buka aplikasi lain koneksi internet lancar aplikasi dia sampah server dia bermasalah mau pakai aplikasi mau pakai web ossgoid sama error tadi pagi serius kerja dia,negatif
katanya buat memangkas prosedur rumit tetapi ternyata rumit aplikasi kurang mempuni error bantu perbaiki kembali jika mempermudah maximalkan,negatif
usaha masyarakat skala kecil mau membuat perijinan dipersulit katanya dipermudah lewat aplikasi mudah apanya masuk tidak tetapi mau mengurus perkara offline butuh nib sedangkan nibnya sendiri tidak dibuat pemecahannya bantu diperbaiki aplikasi,negatif
awal mau daftar kombinasi password gagal klik konfirmasi password gagal katanya mau mempermudah perijinan usaha bantu segera diperbaiki dana anggaran pendapatan dan belanja negara buat biayai aplikasi tidak mungkin murah,negatif
aplikasi membantu pelaku usaha mikro hal pembuatan izin usaha selama birokratif serta butuh biaya relatif besar prosesnya perizinan dia cepat asalkan pengisian data kita lengkap salam indonesia maju,positif
hitungan menit finish membantu berguna sehabis sahur buat izin kerja lewat situs web dia sampai petang mau menyerah dapat pencerahan sehabis menonton video tutorial cara buat izin kerja pakai aplikasi langsung unduh langsung beres hitungan menit terima kasih permudah,positif
tidak login akun tanda stripnya tepat tekan login pasti hilang pengguna password salah mohon admin buat diperbaiki aplikasinya terima kasih,negatif
aplikasi bawah naungan negara kerap kali membuat ribet penggunanya berbelitbelit tidak simpel banyak bug error buat membuat izin merepotkan begini bukannya memudahkan,negatif
aplikasi crash handphone galaxy z fold tidak buka menu di dalam balik menu utama home bantu segera perbaiki bagaimana investor berinvestasi indonesia softwarenya bermasalah,negatif
aplikasi payah saran jangan unduh aplikasi tidak menyesal nantinya aplikasinya banyak ngebugs beberapa hitam dibuka isinya bugs perbaiki aplikasinya supaya pengguna mengakses terima kasih,negatif
lambat tanggapan banyak informasinya tidak diakses bagaikan bantuan apabila dihapus akun error tanya lewat whatsapp berhubungan hapus akun lambat tanggapan gila pakai web sajalah aplikasi tidak maksimal,negatif
aneh padahal kata sandi diulang tidak bisa salah tepat login anehnya nomor handphone verifikasi akun tidak ditemukan lupa akun masukan nik nomor handphonenya disensor asli aplikasi terbodoh pernah aku unduh bulan sampai perbarui terbaru aku urus nib tidak siap pakai aplikasi mau kekota jauh,negatif
keluar proses pendaftarannya isi awal tepat sedikit selesa aduh begitu bantu perbaiki sistemnya,negatif
nib buat melihat kita terdaftar susah sekali masuknya sepatutnya jangan dipersulit kita penting mitra usaha kita bantu respon,negatif
aplikasi dibuka handphone daftar rasa tombol kurang tombol diklik tidak berwarna tombol buat menghapus daftar kegiatan tidak terpakai tidak nib dibuka tidak diunduh tidak lewat web tidak sekarang aplikasi dia dibuka menutup sendiri tidak dibuka,positif
mau daftar susahnya meminta ampun kurang updatealamat tidak sesuai dukcapil hai daftar rekening melalui daring tidak masalah alamat sayalah di sini tidak sesuai membuat aplikasi daring coba niat aplikasi asal penting turun anggaran belaga serba digital tetapi orang dalamnya gagap teknologi semua alhasil aplokasi mobile tersampah kayak begini,negatif
mohon segera perbaiki aplikasinya berhari hari mau ajukan nib baru melalui web maupun aplikasi tidak terkendala ketika pemilihan bidang usaha pemberitahuan usaha buat skala mikro kecil padahal jelas jelas bidang usaha Cuma jualan makanan ringan roti rotian tertulis kotak hijau usaha terhitung koperasi usaha mikro kecil dan menengah,negatif
aplikasi sampah punya siup tahun sebelum aplikasi dirilis ketika hendak membuat nib buat persyaratan visa keluar negeri susah aplikasi menyatakan bahwa nik terdaftar kapan daftar dia orang aplikasi baru unduh hendak daftar aplikasi menyatakan bahwa nomor nik terdaftar dasar negeri konoha semuanya serba susah,negatif
mungkin handphone kentang tidak login perlu handphone spesifikasi tinggi buat buka aplikasi inisaran buat mau unduh lebih baik perbarui dulu handphone dia minimal spesifikasi ram gb internal tidak bisa cpu i sama gpu dia rtx seri tertinggi,negatif
aplikasi burukmau daftar perijina pirtharus daftar melalui osssetelah mau dilakukan pengajuan note belum memiliki perijinan berusaha berbasis risiko kemudian disuruh klik di sini tepat diklik berhenti aplikasinya,negatif
aplikasi error tidak jelas padahal password email benar tetapi egk login aneh perbarui kata sandi buat egk buat login muncul pilihan salah memang aneh mau buat aplikasi presisi jangan asalan aplikasi buat pakai uang rakyat,negatif
aplikasi tidak berfungsi penuh bug lambat tidak meringankan menambah beban kalau saja belum siap membuat aplikasi tidak usah membuat menyusahkan,negatif
kasih bintang dulu mohon perbaiki aplikasinya aplikasi error jika memang aplikasi khusus kan buat handphone model tertentu memberatkan pengguna handphone ram bawah ya beli handphone baru dulu buat masukkan nib daftarin pelaku usaha,negatif
buruk buat dibuat aplikasi tetap diarahkan registrasi menggunakan web begitu registrasinya ribet kelewat berputarputar pengisian formulirnya tidak praktis,negatif
membuat akun ribet dia meminta ampun sampai pengisian data mengapa error  tentang password tidak menyambung banget masak tidak namanya testing sebelum rilis pasti mengecewakan,negatif
setidaknya fokus situs web dulu belum diperbaiki benar pindah aplikasi aplikasi dia bermasalah menghambat banget aku mau mengurus perizinan dipersulit semua dipersulit bantu,negatif
enakan model lamaversi baru susah bikinnyaada tambahan disabilitas padahal kerja normal mohon buat sistem model lama verai baru susah prosesnya,negatif
aplikasinya kacaumau daftar nib baru alihkan webgiliran web dipersulit sistemnya perintah menunggu beberapa ketika tetapi sampai satu minggu begitu kendalanyaglrn obrolan customer service dia lambat tanggapan begitu memberikan solusi tidak jelas bantu jangan dipersulittf hadehhhhhhh istighfar banyak banyakkkkk,negatif
lambat menjawab memproses data katanya mudah cepat tidak progres sama sekali parah,negatif
aplikasi dia buruk layar awal tidak lanjut situs web dia tidak intuitif online single submission harusnya secanggih aplikasi isi borang lain buruk sekali anggaran pasti bujet besar macam coretax tetapi wadduuhh kayak aplikasi developer belajar bantu udah proyekan semacam diganti aplikasi programer lokal penilaian dia kaliber internasional benar tanpa markup,negatif
aplikasi rusak lucu daftar pakai nomor telepon tidak pernah login padahal nomor password sinkron membuat aplikasi jangan murahan lawak,negatif
semua prizinan mudah cepat tidak pakai ribet antre tetapi sayangnya buat pencabutan prizinan berusaha salah sulitketersedian layanan belum bagus membantu sekali buat permohonan izin bagi pengusaha baru,positif
efisien memiliki surat izin usaha kerenmantap permukaanhnya saran jika emaildn nomor terdaftar handphone hilang agar dapat login mudah,positif
sehabis pembaruan susah login padahal email sandi sesuai sebelum tidak login langkah pembuatan rumit membingungkan pengguna mohon perhatian perbaikan segera terima kasih,negatif
kecewa aplikasi mendaftar usaha mikro kecil dan menengah benar nik rupanya memakai meminta mereset pelanggan servic online single submission tidak bantu segera ditindaklanjuti,negatif
